Unnamed: 0,MeridianLink Consumer - Consumer Module Tier 12 (up to 249 apps),MeridianLink Consumer - Consumer Module Tier 11 (250-499 apps),MeridianLink Consumer - Consumer Module Tier 10 (500-999 apps),MeridianLink Consumer - Consumer Module Tier 09 (1000-1999 apps),MeridianLink Consumer - Consumer Module Tier 08 (2000-3999 apps),MeridianLink Consumer - Consumer Module Tier 07 (4000-7999 apps),MeridianLink Consumer - Consumer Module Tier 06 (8000-9999 apps),"MeridianLink Consumer - Consumer Module Tier 05 (10,000-14,999 apps)","MeridianLink Consumer - Consumer Module Tier 04 (15,000-19,999 apps)","MeridianLink Consumer - Consumer Module Tier 03 (20,000-24,999 apps)","MeridianLink Consumer - Consumer Module Tier 02 (25,000-29,999 apps)","MeridianLink Consumer - Consumer Module Tier 01 (30,000+ apps)",Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 08 (170 - 224 Closed Loans/Month) with 2 implementations,13200,,115.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 08 (170 - 224 Closed Loans/Month) with 3 implementations,18425,,115.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 08 (170 - 224 Closed Loans/Month) with no implementations,0,,115.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with 1 implementation,7950,,117.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with 2 implementations,13200,,117.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with 3 implementations,18425,,117.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with no implementations,0,,117.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 01 (1200+ Closed Loans/Month),0,,73.25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 02 (900 - 1199 Closed Loans/Month),0,,74.75,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 03 (675 - 899 Closed Loans/Month),0,,76.25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 04 (525 - 674 Closed Loans/Month),0,,77.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 05 (400 - 524 Closed Loans/Month),0,,79,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 06 (300 - 399 Closed Loans/Month),0,,80.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 07 (225 - 299 Closed Loans/Month),0,,82.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 08 (170 - 224 Closed Loans/Month),0,,84.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Subordinate Lien Loans Tier 09 (135 - 169 Closed Loans/Month),0,,85.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 01 (1200+ Closed Loans/Mon) with 1 implementation,7950,,98.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 01 (1200+ Closed Loans/Mon) with 2 implementations,13200,,98.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 01 (1200+ Closed Loans/Mon) with 3 implementations,18425,,98.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 01 (1200+ Closed Loans/Mon) with no implementation,0,,98.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 02 (900-1199 Closed Loans/Mon) with 1 implementation,7950,,100.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 02 (900-1199 Closed Loans/Mon) with 2 implementations,13200,,100.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 02 (900-1199 Closed Loans/Mon) with 3 implementations,18425,,100.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 02 (900-1199 Closed Loans/Mon) with no implementation,0,,100.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 03 (675-899 Closed Loans/Mon) with 1 implementation,7950,,102.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 03 (675-899 Closed Loans/Mon) with 2 implementations,13200,,102.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 03 (675-899 Closed Loans/Mon) with 3 implementations,18425,,102.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 03 (675-899 Closed Loans/Mon) with no implementation,0,,102.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 04 (525-674 Closed Loans/Mon) with 1 implementation,7950,,105,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 04 (525-674 Closed Loans/Mon) with 2 implementations,13200,,105,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 04 (525-674 Closed Loans/Mon) with 3 implementations,18425,,105,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 04 (525-674 Closed Loans/Mon) with no implementation,0,,105,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 05 (400-524 Closed Loans/Mon) with 1 implementation,7950,,107.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 05 (400-524 Closed Loans/Mon) with 2 implementations,13200,,107.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 05 (400-524 Closed Loans/Mon) with 3 implementations,18425,,107.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 05 (400-524 Closed Loans/Mon) with no implementation,0,,107.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 06 (300-399 Closed Loans/Mon) with 1 implementation,7950,,109.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 06 (300-399 Closed Loans/Mon) with 2 implementations,13200,,109.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 06 (300-399 Closed Loans/Mon) with 3 implementations,18425,,109.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 06 (300-399 Closed Loans/Mon) with no implementation,0,,109.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 07 (225-299 Closed Loans/Mon) with 1 implementation,7950,,112.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 07 (225-299 Closed Loans/Mon) with 2 implementations,13200,,112.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 07 (225-299 Closed Loans/Mon) with 3 implementations,18425,,112.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 07 (225-299 Closed Loans/Mon) with no implementation,0,,112.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 08 (170-224 Closed Loans/Mon) with 1 implementation,7950,,115.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 08 (170-224 Closed Loans/Mon) with 2 implementations,13200,,115.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 08 (170-224 Closed Loans/Mon) with 3 implementations,18425,,115.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 08 (170-224 Closed Loans/Mon) with no implementation,0,,115.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 09 (135-169 Closed Loans/Mon) with 1 implementation,7950,,117.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 09 (135-169 Closed Loans/Mon) with 2 implementations,13200,,117.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 09 (135-169 Closed Loans/Mon) with 3 implementations,18425,,117.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MeridianLink Mortgage LOS with DocMagic Tier 09 (135-169 Closed Loans/Mon) with no implementation,0,,117.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Meridianlink Mortgage Platform Fee,0,5100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Mortgage Credit Link,Mortgage Credit Link Platform,9500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,TazCloud,TazWorks Software Platform Tier 1: Enterprise Plus,9500,,0.28,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TazWorks Software Platform Tier 2: Enterprise,7000,,0.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TazWorks Software Platform Tier 3: Premium,4700,,0.32,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TazWorks Software Platform Tier 4: Professional Plus,3100,,0.37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TazWorks Software Platform Tier 5: Professional,3100,,0.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TazWorks Software Platform Tier 6: Basic,2995,,0.42,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Trade House Data,Trade House Data Setup Fee,275,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Engage,Engage Platform Tier 1 (>$1B AUM),17750,55750,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Engage Platform Tier 2 ($500M-$1B AUM),15750,44500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Engage Platform Tier 3 ($250M-$500M AUM),14500,31250,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Engage Platform Tier 4 (<$250M AUM),13500,22250,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Reward,Reward - Relationship360 Tier 1 (>10B AUM),5000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Reward - Relationship360 Tier 2 ($5B-$10B AUM),3500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Reward - Relationship360 Tier 3 ($1B-$5B AUM),2500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Reward - Relationship360 Tier 4 ($500M-$1B AUM),1500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Reward - Relationship360 Tier 5 ($250M-$500M AUM),750,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Reward - Relationship360 Tier 6 (<250 AUM),500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Explore,Explore - CO-OP Revelation Level 1 Tier 1: >2.5M TXN,0,2000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 1 Tier 2: 1M-2.5M TXN,0,1675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 1 Tier 3: 500K-1M TXN,0,1325,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 1 Tier 4: 150K-500K TXN,0,1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 1 Tier 5: 50K-150K TXN,0,675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 1 Tier 6: 0-50K TXN,0,675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 2 Tier 1: >2.5M TXN,0,7500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 2 Tier 2: 1M-2.5M TXN,0,6500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 2 Tier 3: 500K-1M TXN,0,5750,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 2 Tier 4: 150K-500K TXN,0,4700,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 2 Tier 5: 50K-150K TXN,0,2500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 2 Tier 6: 0-50K TXN,0,1200,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 3 Tier 1: >2.5M TXN,0,22500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 3 Tier 2: 1M-2.5M TXN,0,16750,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 3 Tier 3: 500K-1M TXN,0,12750,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 3 Tier 4: 150K-500K TXN,0,9500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 3 Tier 5: 50K-150K TXN,0,5500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Explore - CO-OP Revelation Level 3 Tier 6: 0-50K TXN,0,3000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Grand Total,,85750,100750,147,,,,,,,,,,,,
